timestamp,open,target_value,volume,item_id
2012-09-04,95.108574,96.424286,91973000,0
2012-09-05,96.510002,95.747147,84093800,1
2012-09-06,96.167145,96.610001,97799100,2
2012-09-07,96.864288,97.205711,82416600,3
2012-09-10,97.207146,94.677139,121999500,4
2012-09-11,95.015717,94.370003,125995800,5
2012-09-12,95.264282,95.684288,178058300,6
2012-09-13,96.767143,97.568573,149590000,7
2012-09-14,98.565712,98.754288,150118500,8
2012-09-17,99.907143,99.968575,99507800,9
2012-09-18,99.982857,100.272858,93375800,10
2012-09-19,100.03714,100.300003,81718700,11
2012-09-20,99.879997,99.814285,84142100,12
2012-09-21,100.344284,100.012856,142897300,13
2012-09-24,98.122856,98.684288,159941600,14
2012-09-25,98.322861,96.220001,129697400,15
2012-09-26,95.534286,95.025711,144125800,16
2012-09-27,94.898575,97.331429,148522500,17
2012-09-28,96.964287,95.300003,133777700,18
2012-10-01,95.879997,94.19857,135898700,19
2012-10-02,94.544289,94.472855,156998100,20
2012-10-03,94.980003,95.921425,106070300,21
2012-10-04,95.89286,95.257141,92681400,22
2012-10-05,95.028572,93.227142,148501500,23
2012-10-08,92.41143,91.167145,159498500,24
2012-10-09,91.235718,90.835716,209649300,25
2012-10-10,91.391426,91.558571,127589000,26
2012-10-11,92.35714,89.728569,136520300,27
2012-10-12,89.937141,89.958572,115003700,28
2012-10-15,90.335716,90.68,108125500,29
2012-10-16,90.767143,92.827141,137442900,30
2012-10-17,92.695717,92.087143,97259400,31
2012-10-18,91.370003,90.377144,119156100,32
2012-10-19,90.150002,87.120003,186021500,33
2012-10-22,87.488571,90.575714,136682700,34
2012-10-23,90.14286,87.622856,176786400,35
2012-10-24,88.777145,88.118568,139631800,36
2012-10-25,88.571426,87.077141,164081400,37
2012-10-26,87.061432,86.285713,254608200,38
2012-10-31,84.982857,85.045715,127500800,39
2012-11-01,85.459999,85.220001,90324500,40
2012-11-02,85.127144,82.400002,149843400,41
2012-11-05,83.360001,83.517143,132283900,42
2012-11-06,84.318573,83.264282,93729300,43
2012-11-07,81.977142,79.714287,198412200,44
2012-11-08,80.089996,76.821426,264036500,45
2012-11-09,77.202858,78.151428,232478400,46
2012-11-12,79.164284,77.547142,128950500,47
2012-11-13,76.987144,77.557144,133237300,48
2012-11-14,77.928574,76.697144,119292600,49
2012-11-15,76.790001,75.08857,197477700,50
2012-11-16,75.028572,75.382858,316723400,51
2012-11-19,77.244286,80.818573,205829400,52
2012-11-20,81.701431,80.129997,160688500,53
2012-11-21,80.60714,80.242859,93250500,54
2012-11-23,81.024284,81.64286,68206600,55
2012-11-26,82.271431,84.218575,157644900,56
2012-11-27,84.221428,83.540001,133332500,57
2012-11-28,82.46714,83.277145,130216100,58
2012-11-29,84.317146,84.194283,128674700,59
2012-11-30,83.827141,83.611427,97829900,60
2012-12-03,84.807144,83.741432,91070000,61
2012-12-04,83.114288,82.264282,139267100,62
2012-12-05,81.272858,76.970001,261159500,63
2012-12-06,75.562859,78.177139,294303100,64
2012-12-07,79.057144,76.178574,196760200,65
2012-12-10,75,75.688568,157621100,66
2012-12-11,77.110001,77.341431,148086400,67
2012-12-12,78.252853,77,121786000,68
2012-12-13,75.878571,75.669998,156314900,69
2012-12-14,73.535713,72.827141,252394800,70
2012-12-17,72.704285,74.118568,189401800,71
2012-12-18,75,76.271431,156421300,72
2012-12-19,75.924286,75.187141,112342300,73
2012-12-20,75.714287,74.53286,120422400,74
2012-12-21,73.209999,74.190002,149067100,75
2012-12-24,74.335716,74.309998,43938300,76
2012-12-26,74.14286,73.285713,75609100,77
2012-12-27,73.362854,73.580002,113780100,78
2012-12-28,72.898575,72.798569,88569600,79
2012-12-31,72.932854,76.024284,164873100,80
2013-01-02,79.117142,78.432854,140129500,81
2013-01-03,78.26857,77.442856,88241300,82
2013-01-04,76.709999,75.285713,148583400,83
2013-01-07,74.571426,74.842857,121039100,84
2013-01-08,75.601425,75.044289,114676800,85
2013-01-09,74.64286,73.871429,101901100,86
2013-01-10,75.507141,74.78714,150286500,87
2013-01-11,74.428574,74.328575,87626700,88
2013-01-14,71.811432,71.678574,183551900,89
2013-01-15,71.185715,69.417145,219193100,90
2013-01-16,70.662857,72.298569,172701200,91
2013-01-17,72.901428,71.811432,113419600,92
2013-01-18,71.21714,71.428574,118230700,93
2013-01-22,72.080002,72.110001,115386600,94
2013-01-23,72.687141,73.43,215377400,95
2013-01-24,65.714287,64.35714,365213100,96
2013-01-25,64.527145,62.84,302006600,97
2013-01-28,62.547142,64.261429,196379400,98
2013-01-29,65.5,65.46714,142789500,99
2013-01-30,65.285713,65.261429,104288800,100
2013-01-31,65.28286,65.07,79833600,101
2013-02-01,65.587143,64.802856,134871100,102
2013-02-04,64.844284,63.188572,119279300,103
2013-02-05,63.435715,65.405716,143336900,104
2013-02-06,65.209999,65.335716,148426600,105
2013-02-07,66.178574,66.888573,176145200,106
2013-02-08,67.714287,67.854286,158289600,107
2013-02-11,68.071426,68.561432,129372600,108
2013-02-12,68.501427,66.842857,152263300,109
2013-02-13,66.744286,66.715714,118801900,110
2013-02-14,66.360001,66.655716,88818800,111
2013-02-15,66.978569,65.737144,97936300,112
2013-02-19,65.871429,65.71286,108945900,113
2013-02-20,65.384285,64.121429,119075600,114
2013-02-21,63.714287,63.722858,111795600,115
2013-02-22,64.178574,64.401428,82663700,116
2013-02-25,64.835716,63.257141,93144800,117
2013-02-26,63.402859,64.138573,125374900,118
2013-02-27,64.061432,63.509998,146837600,119
2013-02-28,63.435715,63.057144,80628800,120
2013-03-01,62.57143,61.495716,138112100,121
2013-03-04,61.114285,60.007141,145688900,122
2013-03-05,60.21143,61.591427,159608400,123
2013-03-06,62.072857,60.808571,115062500,124
2013-03-07,60.642857,61.511429,117118400,125
2013-03-08,61.400002,61.674286,97870500,126
2013-03-11,61.392857,62.552856,118559000,127
2013-03-12,62.228573,61.204285,116477900,128
2013-03-13,61.207142,61.192856,101387300,129
2013-03-14,61.832859,61.785713,75968900,130
2013-03-15,62.561428,63.380001,160990200,131
2013-03-18,63.064285,65.102859,151549300,132
2013-03-19,65.64286,64.927139,131693800,133
2013-03-20,65.345711,64.582855,77165200,134
2013-03-21,64.317146,64.675713,95813900,135
2013-03-22,64.940002,65.987144,98776300,136
2013-03-25,66.384285,66.225716,125283900,137
2013-03-26,66.491432,65.877144,73573500,138
2013-03-27,65.208572,64.582855,82809300,139
2013-03-28,64.260002,63.237144,110709900,140
2013-04-01,63.128571,61.272858,97433000,141
2013-04-02,61.085712,61.398571,132379800,142
2013-04-03,61.624287,61.712856,90804000,143
2013-04-04,61.965714,61.102856,89611900,144
2013-04-05,60.642857,60.457142,95923800,145
2013-04-08,60.692856,60.887142,75207300,146
2013-04-09,60.908573,60.997143,76653500,147
2013-04-10,61.157143,62.241428,93982000,148
2013-04-11,61.959999,62.047142,82091100,149
2013-04-12,62.021427,61.400002,59653300,150
2013-04-15,61,59.978573,79380000,151
2013-04-16,60.224285,60.89143,76442800,152
2013-04-17,60.03857,57.542858,236264000,153
2013-04-18,57.855713,56.007141,166574800,154
2013-04-19,55.424286,55.790001,152318600,155
2013-04-22,56.091427,56.952858,107480100,156
2013-04-23,57.712856,58.01857,166059600,157
2013-04-24,56.220001,57.922855,242412800,158
2013-04-25,58.747143,58.34,96209400,159
2013-04-26,58.544285,59.599998,191024400,160
2013-04-29,60.064285,61.445713,160081600,161
2013-04-30,62.157143,63.254284,172884600,162
2013-05-01,63.494286,62.755714,126727300,163
2013-05-02,63.111427,63.645714,105457100,164
2013-05-03,64.472855,64.28286,90325200,165
2013-05-06,65.101425,65.815712,124160400,166
2013-05-07,66.424286,65.522858,120938300,167
2013-05-08,65.577141,66.262856,118149500,168
2013-05-09,65.687141,65.252853,99621900,169
2013-05-10,65.424286,64.709999,83713000,170
2013-05-13,64.501427,64.96286,79237200,171
2013-05-14,64.835716,63.408573,111779500,172
2013-05-15,62.737144,61.264286,185403400,173
2013-05-16,60.462856,62.082859,150801000,174
2013-05-17,62.721428,61.894287,106976100,175
2013-05-20,61.701427,63.275715,112894600,176
2013-05-21,62.592857,62.808571,114005500,177
2013-05-22,63.435715,63.049999,110759600,178
2013-05-23,62.278572,63.162857,88255300,179
2013-05-24,62.978573,63.592857,69041700,180
2013-05-28,64.271431,63.062859,96536300,181
2013-05-29,62.857143,63.564285,82644100,182
2013-05-30,63.664288,64.511429,88379900,183
2013-05-31,64.64286,64.247147,96075700,184
2013-06-03,64.389999,64.388573,93088100,185
2013-06-04,64.745712,64.187141,73182200,186
2013-06-05,63.664288,63.587143,72647400,187
2013-06-06,63.638573,62.637142,104233500,188
2013-06-07,62.357143,63.115715,101133900,189
2013-06-10,63.532856,62.69857,112538300,190
2013-06-11,62.248573,62.514286,71528100,191
2013-06-12,62.785713,61.741428,66306800,192
2013-06-13,61.785713,62.279999,71458100,193
2013-06-14,62.200001,61.435715,67966500,194
2013-06-17,61.634285,61.714287,64853600,195
2013-06-18,61.651428,61.681427,48756400,196
2013-06-19,61.628571,60.42857,77735000,197
2013-06-20,59.900002,59.548573,89327700,198
2013-06-21,59.784286,59.07143,120279600,199
2013-06-24,58.200001,57.505714,120186500,200
2013-06-25,57.957142,57.51857,78540700,201
2013-06-26,57.700001,56.867142,91931000,202
2013-06-27,57.035713,56.254284,84311500,203
2013-06-28,55.908573,56.647144,144629100,204
2013-07-01,57.527142,58.459999,97763400,205
2013-07-02,58.565716,59.784286,117466300,206
2013-07-03,60.122856,60.114285,60232200,207
2013-07-05,60.055714,59.631428,68506200,208
2013-07-08,60.015713,59.292858,74534600,209
2013-07-09,59.085712,60.335712,88146100,210
